epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,233.5,0.83435,0.65182,1.04115,0.99857,0.99762,0.995,0.80515,0.76182,0.40649,0.99967,0.00114853,0.00114853,0.00114853
43,237.918,0.84008,0.61687,1.0546,0.99577,0.99001,0.9949,0.77037,0.8656,0.43233,1.06093,0.00114605,0.00114605,0.00114605
44,242.19,0.85377,0.65578,1.06342,0.98949,0.99798,0.995,0.79767,0.78298,0.41531,0.99626,0.00114357,0.00114357,0.00114357
45,249.397,0.89072,0.68474,1.094,0.9961,0.99763,0.995,0.76311,0.87399,0.42808,1.05161,0.0011411,0.0011411,0.0011411
46,256.592,0.83166,0.61009,1.05529,0.99699,1,0.995,0.80992,0.74547,0.38963,0.98063,0.00113863,0.00113863,0.00113863
47,261.045,0.80921,0.60712,1.05052,0.99701,1,0.995,0.8209,0.70972,0.38395,0.97037,0.00113615,0.00113615,0.00113615
48,266.171,0.84646,0.63941,1.07326,0.9958,1,0.99497,0.8059,0.77895,0.40084,0.99135,0.00113368,0.00113368,0.00113368
49,272.353,0.81059,0.60851,1.04123,0.99516,0.99774,0.99497,0.8182,0.71094,0.40113,0.96766,0.0011312,0.0011312,0.0011312
50,276.599,0.82553,0.59679,1.05311,0.98049,0.98984,0.99457,0.77044,0.85185,0.42895,1.02559,0.00112873,0.00112873,0.00112873
51,280.903,0.8353,0.62604,1.06081,0.99632,0.98925,0.99493,0.80964,0.73985,0.40463,0.97807,0.00112625,0.00112625,0.00112625
52,288.252,0.84233,0.62774,1.05885,0.99165,0.997,0.995,0.80657,0.7341,0.40772,0.99513,0.00112378,0.00112378,0.00112378
53,292.851,0.84062,0.59796,1.05198,0.98826,0.99591,0.99484,0.78999,0.80234,0.42238,1.01813,0.0011213,0.0011213,0.0011213
54,297.21,0.78755,0.58462,1.03576,0.998,0.99959,0.995,0.76592,0.8651,0.41477,1.06069,0.00111882,0.00111882,0.00111882
55,303.231,0.81188,0.59357,1.05641,0.99872,0.99787,0.995,0.79879,0.76606,0.38054,0.99864,0.00111635,0.00111635,0.00111635
56,309.023,0.81063,0.54746,1.02371,0.9988,1,0.995,0.73766,0.92908,0.42489,1.08694,0.00111388,0.00111388,0.00111388
57,313.378,0.85263,0.57947,1.08687,0.99429,0.99914,0.995,0.80226,0.77615,0.39854,0.99786,0.0011114,0.0011114,0.0011114
58,318.291,0.84533,0.59756,1.05353,0.99837,0.99769,0.995,0.78929,0.79377,0.3895,1.00001,0.00110892,0.00110892,0.00110892
